model,condition,tasks,nominal_calls,budget_calls,nominal_prompt_tokens,nominal_completion_tokens,nominal_total_tokens,nominal_cost_usd,budget_prompt_tokens,budget_completion_tokens,budget_total_tokens,budget_cost_usd,input_price_per_mtok,output_price_per_mtok
gpt-5.4-mini,api_local,120,520,960,355660,114400,470060,0.781545,802050,211200,1013250,1.5519375,0.75,4.5
gpt-5.4-mini,api_dlp,120,520,960,355660,114400,470060,0.781545,802050,211200,1013250,1.5519375,0.75,4.5
gpt-5.4-mini,api_policy_prompt,120,520,960,415100,114400,529500,0.826125,911800,211200,1123000,1.63425,0.75,4.5
gpt-5.4-mini,api_traceguard,120,520,960,355660,114400,470060,0.781545,800200,211200,1011400,1.55055,0.75,4.5
gpt-5.5,api_local,120,520,960,355660,114400,470060,5.2103,802050,211200,1013250,10.34625,5.0,30.0
gpt-5.5,api_dlp,120,520,960,355660,114400,470060,5.2103,802050,211200,1013250,10.34625,5.0,30.0
gpt-5.5,api_policy_prompt,120,520,960,415100,114400,529500,5.5075,911800,211200,1123000,10.895,5.0,30.0
gpt-5.5,api_traceguard,120,520,960,355660,114400,470060,5.2103,800200,211200,1011400,10.337,5.0,30.0
