condition,normalized_condition,agent_topology,recovery_mode,max_steps,tasks,risky_tasks,safe_control_tasks,prompts,blocked_sinks,recoverable_sink_blocks,post_block_recovery_prompts,recovery_prompt_hits,expected_recovery_prompt_hits,pre_block_recovery_prompt_hits,safe_control_recovery_prompt_hits,pass
api_local,local,single,after_block,8,120,60,60,520,0,0,0,0,0,0,0,True
api_dlp,dlp,single,after_block,8,120,60,60,520,0,0,0,0,0,0,0,True
api_visible_policy,visible_policy,single,after_block,8,120,60,60,530,10,10,10,10,10,0,0,True
api_traceguard,traceguard,single,after_block,8,120,60,60,570,50,50,50,50,50,0,0,True
api_traceguard_inferred,traceguard_inferred,single,after_block,8,120,60,60,570,50,50,50,50,50,0,0,True
